,Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
89,2018-11-18,5559.740234,5653.609863,5559.740234,5623.540039,5623.540039,4159680000.0,21832.0,97915600000.0,0.0424823006950461
90,2018-11-19,5620.779785,5620.779785,4842.910156,4871.490234,4871.490234,7039560000.0,39010.0,91876475000.0,0.0766198312374781
91,2018-11-20,4863.930176,4951.609863,4272.109863,4451.870117,4451.870117,8428290000.0,36659.0,80519310000.0,0.1046741494231442
92,2018-11-21,4465.540039,4675.72998,4343.97998,4602.169922,4602.169922,6120120000.0,30984.0,78726940000.0,0.0777385747111253
93,2018-11-22,4611.569824,4629.640137,4365.640137,4365.939941,4365.939941,4569370000.0,27754.0,78959010000.0,0.0578701532863316
94,2018-11-23,4360.700195,4396.419922,4195.680176,4347.109863,4347.109863,4871490000.0,26345.0,75205984000.0,0.0647752974473085
95,2018-11-24,4347.689941,4413.089844,3795.159912,3880.76001,3880.76001,4679500000.0,22902.0,74946640000.0,0.0624377541157216
96,2018-11-25,3880.780029,4120.870117,3585.060059,4009.969971,4009.969971,6825640000.0,26859.0,66962120000.0,0.1019328529060799
97,2018-11-26,4015.070068,4107.140137,3643.919922,3779.129883,3779.129883,6476900000.0,29115.0,68402835000.0,0.0946875952849389
98,2018-11-27,3765.949951,3862.959961,3661.01001,3820.719971,3820.719971,5998720000.0,29976.0,65676243000.0,0.091337746057047
99,2018-11-28,3822.469971,4385.899902,3822.469971,4257.419922,4257.419922,7280280000.0,29142.0,71633740000.0,0.1016319966368581
100,2018-11-29,4269.004395,4413.020508,4145.765137,4278.84668,4278.84668,6503347767.0,28709.0,74307310000.0,0.0875196188144627
101,2018-11-30,4289.088867,4322.976563,3942.822021,4017.268555,4017.268555,6048016717.0,25626.0,71851290000.0,0.084174090809677
102,2018-12-01,4024.464355,4309.377441,3969.710693,4214.671875,4214.671875,5375314093.0,26347.0,72040420000.0,0.0746152484607584
103,2018-12-02,4200.733398,4301.519531,4110.978516,4139.87793,4139.87793,5262697895.0,21596.0,72950450000.0,0.0721407205856499
104,2018-12-03,4147.32373,4155.979492,3840.446289,3894.130859,3894.130859,5089570994.0,27894.0,69689800000.0,0.0730317893438712
105,2018-12-04,3886.294922,4075.627686,3832.75,3956.893799,3956.893799,5028069239.0,25332.0,69284730000.0,0.0725710993823865
106,2018-12-05,3958.894775,3969.535889,3753.994873,3753.994873,3753.994873,5302481574.0,27357.0,67884945000.0,0.0781098304216227
107,2018-12-06,3754.074463,3874.966064,3521.101807,3521.101807,3521.101807,5878333109.0,27997.5,65378505000.0,0.0899123211155416
108,2018-12-07,3512.590332,3512.590332,3280.22876,3419.937256,3419.937256,6835615448.0,28638.0,59452334000.0,0.1149764017473542
109,2018-12-08,3421.9104,3506.043457,3350.650635,3476.114746,3476.114746,5305024497.0,22270.0,60046344000.0,0.0883488340278806
110,2018-12-09,3473.227539,3685.305664,3469.094238,3614.234375,3614.234375,4947372847.0,23363.0,62013587000.0,0.0797788525056749
111,2018-12-10,3612.046387,3647.33252,3470.144531,3502.656006,3502.656006,5020968740.0,22818.0,61897822000.0,0.0811170500171662
112,2018-12-11,3497.554688,3513.185059,3392.25,3424.588135,3424.588135,4696765188.0,22603.0,60239815000.0,0.0779677894897406
113,2018-12-12,3421.458252,3534.228516,3413.481445,3486.950195,3486.950195,4139364829.0,21876.0,60672193000.0,0.0682250740844959
114,2018-12-13,3487.879395,3489.739502,3298.13208,3313.677246,3313.677246,4343372456.0,21792.0,59796860000.0,0.0726354592631501
115,2018-12-14,3311.751953,3329.555908,3206.542236,3242.484863,3242.484863,4372763663.0,24445.0,57516310000.0,0.0760264979248148
116,2018-12-15,3243.997559,3275.37793,3191.303467,3236.761719,3236.761719,3551763561.0,18577.0,56726240000.0,0.062612355073352
117,2018-12-16,3236.274658,3305.753174,3233.819824,3252.839111,3252.839111,3744248994.0,19526.0,57463470000.0,0.0651587716897789
118,2018-12-17,3253.123047,3597.917969,3253.123047,3545.864746,3545.864746,5409247918.0,24940.0,59549670000.0,0.0908358986481315
119,2018-12-18,3544.761475,3701.349365,3487.169189,3696.059082,3696.059082,5911325473.0,25600.0,62304535000.0,0.0948779333283264
120,2018-12-19,3706.824951,3949.322998,3687.22998,3745.950684,3745.950684,6810689119.0,26446.0,66460463000.0,0.1024773045644048
121,2018-12-20,3742.195068,4191.228516,3728.974609,4134.441406,4134.441406,8927129279.0,24630.0,69444170000.0,0.1285511625730475
122,2018-12-21,4133.703613,4198.429688,3850.946289,3896.543701,3896.543701,7206015706.0,22143.0,70322545000.0,0.1024709180091467
123,2018-12-22,3898.08374,4014.182617,3855.739014,4014.182617,4014.182617,5605823233.0,17737.0,68325380000.0,0.082045986793247
124,2018-12-23,4020.994629,4085.723633,3976.405762,3998.980225,3998.980225,6151275490.0,17701.0,70421810000.0,0.0873490150702282
125,2018-12-24,4000.331787,4271.79248,4000.331787,4078.599121,4078.599121,7240968501.0,21198.0,72807330000.0,0.0994538340346156
126,2018-12-25,4081.030518,4089.561523,3760.020508,3815.490723,3815.490723,6158207293.0,18394.0,66784326000.0,0.0922103687463045
127,2018-12-26,3819.666748,3893.359619,3769.86377,3857.297607,3857.297607,5326547918.0,19107.0,66853640000.0,0.0796747651418286
128,2018-12-27,3854.688477,3874.416992,3645.448486,3654.833496,3654.833496,5130222366.0,19522.0,65694190000.0,0.0780924803213579
129,2018-12-28,3653.131836,3956.135986,3642.63208,3923.918701,3923.918701,5631554348.0,20589.0,65360670000.0,0.08616120804704
130,2018-12-29,3932.491699,3963.758789,3820.408691,3820.408691,3820.408691,4991655917.0,19252.0,68310417000.0,0.0730731286150129
131,2018-12-30,3822.384766,3901.908936,3797.219238,3865.952637,3865.952637,4770578575.0,18295.0,66925314000.0,0.0712821246020371
132,2018-12-31,3866.839111,3868.74292,3725.867432,3742.700439,3742.700439,4661840806.0,18611.0,66397315000.0,0.070211284913325
133,2019-01-01,3746.713379,3850.913818,3707.231201,3843.52002,3843.52002,4324200990.0,17069.0,65348534000.0,0.0661713539281752
134,2019-01-02,3849.216309,3947.981201,3817.409424,3943.409424,3943.409424,5244856836.0,18830.0,67471070000.0,0.0777349002977376
135,2019-01-03,3931.048584,3935.685059,3826.2229,3836.741211,3836.741211,4530215219.0,26754.0,67636613000.0,0.0669787413950274
136,2019-01-04,3832.040039,3865.93457,3783.85376,3857.717529,3857.717529,4847965467.0,21139.0,66716275000.0,0.0726654101967115
137,2019-01-05,3851.973877,3904.903076,3836.900146,3845.19458,3845.19458,5137609824.0,20096.0,67429024000.0,0.0761928549270618
138,2019-01-06,3836.519043,4093.297363,3826.513184,4076.632568,4076.632568,5597027440.0,18883.0,68542726000.0,0.0816574967888105
139,2019-01-07,4078.584961,4092.613525,4020.894043,4025.248291,4025.248291,5228625637.0,20476.0,70771710000.0,0.0738801632635367
140,2019-01-08,4028.472168,4109.020996,3996.955322,4030.8479,4030.8479,5306593305.0,19387.0,70410190000.0,0.0753668359805437
141,2019-01-09,4031.552002,4068.403564,4022.662842,4035.296387,4035.296387,5115905225.0,21237.0,70512240000.0,0.072553436497766
142,2019-01-10,4034.411377,4064.06665,3659.174561,3678.924561,3678.924561,6874143796.0,20948.0,66825240000.0,0.1028674754740624
143,2019-01-11,3674.015381,3713.881836,3653.069824,3687.365479,3687.365479,5538712865.0,19317.0,63988750000.0,0.0865576060352268
144,2019-01-12,3686.973145,3698.978271,3653.810791,3661.301025,3661.301025,4778170883.0,16138.0,63755090000.0,0.0749457139109494
145,2019-01-13,3658.868164,3674.76001,3544.927246,3552.953125,3552.953125,4681302466.0,16041.0,62927340000.0,0.0743921879060556
146,2019-01-14,3557.311035,3727.836182,3552.285156,3706.052246,3706.052246,5651384490.0,19018.0,62991720000.0,0.0897163063622821
147,2019-01-15,3704.216309,3720.15332,3619.949219,3630.675293,3630.675293,5537192302.0,18363.0,63995180000.0,0.0865251474850597
148,2019-01-16,3631.509766,3685.7771,3624.67334,3655.006836,3655.006836,5394457145.0,18790.0,63400680000.0,0.0850851602814771
149,2019-01-17,3651.871094,3680.135986,3621.960938,3678.563965,3678.563965,5464420383.0,21544.0,63357470000.0,0.0862474542865524
150,2019-01-18,3677.990479,3682.52002,3637.080811,3657.839355,3657.839355,5002961727.0,19125.0,63597040000.0,0.0786665819228059
151,2019-01-19,3652.37793,3758.533447,3652.37793,3728.568359,3728.568359,5955691380.0,16923.0,64510145000.0,0.0923217801642366
152,2019-01-20,3725.446045,3743.387939,3583.019531,3601.013672,3601.013672,5582489560.0,17285.0,63627887000.0,0.0877365233863023
153,2019-01-21,3600.372803,3608.84082,3558.537109,3576.032471,3576.032471,5004347059.0,18571.0,62243537000.0,0.0803994648851903
154,2019-01-22,3575.081299,3620.746582,3539.721436,3604.577148,3604.577148,5313623556.0,18601.0,62512550000.0,0.0850009088658213
155,2019-01-23,3605.557129,3623.067871,3565.313965,3585.123047,3585.123047,5433755649.0,19434.0,62852452000.0,0.086452563832652
156,2019-01-24,3584.500244,3616.087402,3569.092773,3600.865479,3600.865479,5262869046.0,19994.0,62569600000.0,0.0841122387250507
157,2019-01-25,3607.390381,3612.927734,3575.597412,3599.765869,3599.765869,5265847539.0,17787.0,62656578000.0,0.0840430126585585
158,2019-01-26,3599.715332,3654.933105,3593.345947,3602.460449,3602.460449,5098183235.0,16307.0,63018020000.0,0.0809004022199055
159,2019-01-27,3604.687256,3612.671387,3567.24585,3583.96582,3583.96582,5570752966.0,14794.0,62624887000.0,0.0889542999928148
160,2019-01-28,3584.283203,3586.750977,3439.23291,3470.450439,3470.450439,6908930483.0,19069.0,60806246000.0,0.1136220518785385
161,2019-01-29,3468.870117,3476.06543,3400.819824,3448.116943,3448.116943,5897159493.0,19242.0,60083630000.0,0.0981491878095259
162,2019-01-30,3443.896973,3495.174805,3429.387939,3486.181641,3486.181641,5955112627.0,19785.0,60657443000.0,0.0981761239929683
163,2019-01-31,3485.40918,3504.804932,3447.915771,3457.792725,3457.792725,5831198271.0,20616.0,60570990000.0,0.0962704821428512
164,2019-02-01,3460.547119,3501.954102,3431.591553,3487.945313,3487.945313,5422926707.0,14658.0,60501635000.0,0.0896327297691449
