Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
2020-01-30,9316.016602,9553.125977,9230.897461,9508.993164,9508.993164,32378792851.0,18452,170887760000.0,0.18947403408702587
2020-01-31,9508.313477,9521.706055,9230.776367,9350.529297,9350.529297,29432489719.0,17685,170398290000.0,0.17272761622379265
2020-02-01,9346.357422,9439.323242,9313.239258,9392.875,9392.875,25922656496.0,15818,170902880000.0,0.15168062970717497
2020-02-02,9389.820313,9468.797852,9217.824219,9344.365234,9344.365234,30835736946.0,75543,171009750000.0,0.1803156626402017
2020-02-03,9344.683594,9540.37207,9248.633789,9293.521484,9293.521484,30934096509.0,32917,170261730000.0,0.18168555778211373
2020-02-04,9292.841797,9331.265625,9112.811523,9180.962891,9180.962891,29893183716.0,28537,168033850000.0,0.17789977770181273
2020-02-05,9183.416016,9701.299805,9163.704102,9613.423828,9613.423828,35222060874.0,34975,171472960000.0,0.20540883273078178
2020-02-06,9617.821289,9824.619141,9539.818359,9729.801758,9729.801758,37628823716.0,30260,176692560000.0,0.21296212892755162
2020-02-07,9726.00293,9834.716797,9726.00293,9795.943359,9795.943359,34522718159.0,25577,178370040000.0,0.19354550231038303
2020-02-08,9793.070313,9876.749023,9678.910156,9865.119141,9865.119141,35172043762.0,22495,178841170000.0,0.1966663658719515
2020-02-09,9863.894531,10129.43555,9850.392578,10116.67383,10116.67383,35807884663.0,38674,183592370000.0,0.19504015678142253
2020-02-10,10115.55957,10165.76563,9784.563477,9856.611328,9856.611328,39386548075.0,27170,180868700000.0,0.21776321374618754
2020-02-11,9855.891602,10210.05273,9729.334961,10208.23633,10208.23633,37648059389.0,28117,181532540000.0,0.20739014171531975
2020-02-12,10202.3877,10393.61133,10202.3877,10326.05469,10326.05469,43444303830.0,28341,188166980000.0,0.23088165588907666
2020-02-13,10323.96094,10457.62695,10116.16113,10214.37988,10214.37988,49356071373.0,26869,187415280000.0,0.26335137100231804
2020-02-14,10211.55078,10321.99609,10125.53418,10312.11621,10312.11621,43338264162.0,25754,187122910000.0,0.23160319787132538
2020-02-15,10313.85645,10341.55566,9874.427734,9889.424805,9889.424805,43865054831.0,23918,184966140000.0,0.23715181505728783
2020-02-16,9889.179688,10053.96875,9722.386719,9934.433594,9934.433594,43374780305.0,23996,180676720000.0,0.24006844744412015
2020-02-17,9936.560547,9938.81543,9507.637695,9690.142578,9690.142578,45998298413.0,25279,177191000000.0,0.25959727069293254
2020-02-18,9691.230469,10161.93555,9632.382813,10141.99609,10141.99609,47271023953.0,29623,179327550000.0,0.26360157209874824
2020-02-19,10143.79883,10191.67578,9611.223633,9633.386719,9633.386719,46992019710.0,31627,183930550000.0,0.25548784102079947
2020-02-20,9629.325195,9643.216797,9507.900391,9608.475586,9608.475586,44925260237.0,26789,175204100000.0,0.25641670849574716
2020-02-21,9611.782227,9723.014648,9589.743164,9686.441406,9686.441406,40930547513.0,23685,176614200000.0,0.23175117643658125
2020-02-22,9687.707031,9698.231445,9600.728516,9663.181641,9663.181641,35838025154.0,24088,176226780000.0,0.20336310593489662
2020-02-23,9663.318359,9937.404297,9657.791016,9924.515625,9924.515625,41185185761.0,25803,179596480000.0,0.22932067812735143
2020-02-24,9921.583008,9951.746094,9537.042969,9650.174805,9650.174805,45080496648.0,28829,177887040000.0,0.2534220470235988
2020-02-25,9651.3125,9652.737305,9305.021484,9341.705078,9341.705078,42515259129.0,27251,173626820000.0,0.24486573837847553
2020-02-26,9338.290039,9354.77832,8704.426758,8820.522461,8820.522461,50420050762.0,27388,165329810000.0,0.30496647696744744
2020-02-27,8825.09375,8932.892578,8577.199219,8784.494141,8784.494141,45470195695.0,25882,160576630000.0,0.2831681939840138
2020-02-28,8788.728516,8890.456055,8492.932617,8672.455078,8672.455078,44605450443.0,25289,158830120000.0,0.28083748424861954
2020-02-29,8671.212891,8775.631836,8599.508789,8599.508789,8599.508789,35792392544.0,22884,158545050000.0,0.225755343178202
2020-03-01,8599.758789,8726.796875,8471.212891,8562.454102,8562.454102,35349164300.0,22847,156417670000.0,0.22599214037673096
2020-03-02,8563.264648,8921.308594,8532.630859,8869.669922,8869.669922,42857674409.0,25876,159748030000.0,0.26828295963660215
2020-03-03,8865.387695,8901.598633,8704.990234,8787.786133,8787.786133,42386715821.0,25782,160437900000.0,0.26419391613568244
2020-03-04,8788.541992,8843.366211,8712.431641,8755.246094,8755.246094,34746706368.0,27221,160026130000.0,0.21713145115434587
2020-03-05,8760.285156,9142.054688,8757.253906,9078.762695,9078.762695,39698054597.0,26232,164739020000.0,0.24097541621105925
2020-03-06,9078.308594,9167.695313,9032.079102,9122.545898,9122.545898,40826885651.0,22285,166124290000.0,0.24576108430141955
2020-03-07,9121.600586,9163.220703,8890.744141,8909.954102,8909.954102,36216930370.0,19205,165242670000.0,0.2191742061888084
2020-03-08,8908.206055,8914.34375,8105.25293,8108.116211,8108.116211,39973102121.0,19627,156832630000.0,0.25487746040581677
2020-03-09,8111.146484,8177.793457,7690.098145,7923.644531,7923.644531,46936995808.0,31167,144019880000.0,0.32590636210363305
2020-03-10,7922.146973,8136.945313,7814.763184,7909.729492,7909.729492,42213940994.0,24544,145333500000.0,0.29046255974718205
2020-03-11,7910.089844,7950.814453,7642.8125,7911.430176,7911.430176,38682762605.0,23550,143487390000.0,0.269589988299292
2020-03-12,7913.616211,7929.116211,4860.354004,4970.788086,4970.788086,53980357243.0,44735,122310710000.0,0.44133793162647783
2020-03-13,5017.831055,5838.114746,4106.980957,5563.707031,5563.707031,74156772075.0,43020,96428680000.0,0.7690323326507725
2020-03-14,5573.077637,5625.226563,5125.069336,5200.366211,5200.366211,36154506008.0,22922,98686840000.0,0.3663559113229859
2020-03-15,5201.066895,5836.64502,5169.283203,5392.314941,5392.314941,33997889639.0,22102,97143950000.0,0.349974348341094
2020-03-16,5385.229492,5385.229492,4575.35791,5014.47998,5014.47998,45368026430.0,27432,91458994000.0,0.49604772979129425
2020-03-17,5002.578125,5371.348633,4981.90918,5225.629395,5225.629395,38622642935.0,26159,94642730000.0,0.40808883775732707
2020-03-18,5227.11377,5331.833984,5069.335938,5238.438477,5238.438477,37878801016.0,26644,94703420000.0,0.39997289706309996
2020-03-19,5245.416504,6329.73584,5236.96875,6191.192871,6191.192871,51000731797.0,29033,103589860000.0,0.4923332275113706
2020-03-20,6191.653809,6844.261719,5865.781738,6198.77832,6198.77832,54442976103.0,28150,114939600000.0,0.473665957412374
2020-03-21,6206.521484,6378.135254,5932.823242,6185.066406,6185.066406,42494390880.0,25403,112740200000.0,0.37692315833230455
2020-03-22,6185.558105,6359.697266,5823.713867,5830.254883,5830.254883,40099664740.0,27844,112152600000.0,0.3575455632241585
2020-03-23,5831.374512,6443.93457,5785.004395,6416.314941,6416.314941,46491916000.0,28657,111469990000.0,0.41708009786627676
2020-03-24,6436.642578,6789.022949,6411.066406,6734.803711,6734.803711,48221910672.0,31076,121219360000.0,0.39780701021019227
2020-03-25,6738.716797,6892.51123,6536.92627,6681.062988,6681.062988,44590107888.0,26878,121751020000.0,0.36624011908725906
2020-03-26,6675.170898,6735.463867,6590.962891,6716.44043,6716.44043,35319797642.0,24772,121908440000.0,0.28972398066524135
